Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (min),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,A,11677,,410,1090,82,,,,
B,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,B,11874,,408,1106,83,,,,
C,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,C,11463,,409,1077,82,,,,
D,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,D,13279,,454,562,232,,,,
E,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,E,13311,,480,513,252,,,,
F,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,F,13432,,460,552,243,,,,
G,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,G,13323,,420,670,208,,,,
H,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,H,11676,,705,462,213,,,,
I,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,I,13022,,461,545,264,,,,
J,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,13247,,427,528,244,,,,
K,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,13246,,394,584,219,,,,
L,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,12811,,425,512,234,,,,
,total,36,,,,,total for product,1800,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,
"used 2'E,F, B",,,,,,,,cells,media,total,,,,,,,,,,,
rinsed with 20mL of 1ycm (PCG 9/22/15 reduced with 3mL of CYS) between spins,,,,,,,,#1 old media,0.3,,,,,,,,,,,,
into shaker at 1130,,,,,,,,800,1866.666667,2666.666667,,,,,,,,,,,
GHI turned so coating was on bottom at 325,,,,,,,,,,,,,,,from 1.7 to 3,,,,,,
,,,,,,,,,,,,line,tube,,Ethanol,ACETATE,,,,,
,,,,,,,,,,,,1,1,,86,,,,,,
,,,,,,,,,,,,2,2,,406,14.2,,,,,
,,,,,,,,,,,,3,3,,121,114,,,,,
,,,,,,,,,,,,4,4,,37.3,222.1,,,,,
,,,,,,,,,,,,5,5,,18,,,,,,
,,,,,,,,,,,,6,1,,19.1,,,,,,
,,,,,,,,,,,,7,6,,33.4,107,,,,,
,,,,,,,,,,,,8,7,,37,112.5,,,,,
,,,,,,,,,,,,9,8,,38.8,112,,,,,
,,,,,,,,,,,,10,9,,28.3,93,,,,,
,,,,,,,,,,,,11,10,,28.2,95.7,,,,,
,,,,,,,,,,,,12,11,,31.5,114.2,,,,,
,,,,,,,,,,,,13,12,,29.6,118,,,,,
,,,,,,,,,,,,14,13,,34,154.4,,,,,
,,,,,,,,,,,,15,14,,32.9,138.2,,,,,
,,,,,,,,,,,,16,15,,34.7,135.4,,,,,
,,,,,,,,,,,,17,16,,34.5,82.7,,,,,
,,,,,,,,,,,,18,17,,35.5,118.6,,,,,
,,,,,,,,,,,,19,18,,33.6,16.9,,,,,
,,,,,,,,,,,,20,19,,37.1,,,,,,
,,,,,,,,,,,,21,20,,429.3,14.9,,,,,
,,,,,,,,,,,,22,21,,132.4,120.4,,,,,
,,,,,,,,,,,,23,22,,48.3,234.7,,,,,
