Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,A,12923.2,,377.2,1226.7,48.6,,,,
B,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,B,13302,,369.3,1232.9,52.5,,,,
C,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,C,12507.2,,365.2,1170.5,52,,,,
D,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,D,12210.3,,345.4,1298.1,0,,,,
E,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,E,12050.9,,341.2,1285.6,18.1,,,,
F,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,F,12038.9,,338.3,1277.5,16.7,,,,
G,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,G,12650.4,,358,1081.7,72.9,,,,
H,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,H,12476.9,,401.9,984.5,94,,,,
I,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,I,12517.7,,380.3,979,99.5,,,,
J,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,J,11711.6,,345.5,1199.9,34.3,,,,
K,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,K,11610.8,,348.9,1190.2,33.6,,,,
L,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,L,11503,,349.5,1184.2,34,,,,
M,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,M,12140.6,,376.7,861.1,119.5,,,,
N,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,N,12623.7,,381.5,893.9,121,,,,
O,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,O,12186.3,,381.7,770.7,142.4,,,,
P,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,P,11424.5,,359.5,1134.4,45.9,,,,
Q,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,Q,11511.9,,357.2,1146.5,44.9,,,,
R,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,R,11499.3,,364.8,1151.8,44,,,,
S ,3MM,4,4.2,1YCM,3 (3:40),1,10,200,10,50,,S ,13056,,431.6,587.9,215.9,,,,
T ,3MM,4,4.2,1YCM,3 (3:40),1,10,200,10,50,,T ,12736.6,,434.3,632.3,192.8,,,,
U,3MM,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,U,12834.1,,426,662.7,242.2,,,,
V,N/A,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,V,11482.8,,373.3,1105.5,71.2,,,,
W,N/A,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,W,11309.7,,380.2,1094.7,75.1,,,,
X,N/A,4,4.2,1YCM,3 (3:40),3,10,200,10,50,,X,11192.4,,392.6,1092.54,70.9,,,,
Y,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,Y,11609.2,,594.4,421.3,226.7,,,,
Z,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,Z,13248.6,,495.8,391.6,276,,,,
AA,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AA,12394.1,,453.1,468.5,222.6,,,,
AB,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AB,11040.5,,408.3,1043.8,81.5,,,,
AC,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AC,11239.4,,407.6,1042.9,88.4,,,,
AD,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AD,11085.2,,421.1,1040.9,89.9,,,,
,total,120,,,,,total for product,6000,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,
rinsed with 25mL of 1ycm between spins,,,,,,,,cells,media,total,,,,,,,,,,,
into shaker at 1240pm,,,,,,,,#1 OTA1,0.3,,,,,,,,,,,,
,,,,,,,,2070,4830,6900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,line,tube,,ETHANOL,ACETATE,,,,,
,,,,,,,,,,,,1,1,H2O,13.3,,,,,,
,,,,,,,,,,,,2,2,std1,418.2,14.3,,,,,
,,,,,,,,,,,,3,3,std2,106.4,103.4,,,,,
,,,,,,,,,,,,4,4,std3,34.8,247.4,,,,,
,,,,,,,,,,,,5,5,1YCM,16.4,,,,,,
,,,,,,,,,,,,6,1,H2O,17.2,,,,,,
,,,,,,,,,,,,7,6,A,17.9,26.2,,,,,
,,,,,,,,,,,,8,7,B,22.1,28.7,,,,,
,,,,,,,,,,,,9,8,C,23.1,22.2,,,,,
,,,,,,,,,,,,10,9,D,25.5,52.1,,,,,
,,,,,,,,,,,,11,10,E,27.1,50.9,,,,,
,,,,,,,,,,,,12,11,F,27.9,51.5,,,,,
,,,,,,,,,,,,13,12,G,27.5,36.7,,,,,
,,,,,,,,,,,,14,13,H,27.4,55.3,,,,,
,,,,,,,,,,,,15,14,I,29.7,57.2,,,,,
,,,,,,,,,,,,16,15,J,33.1,73.5,,,,,
,,,,,,,,,,,,17,16,K,33.5,72.7,,,,,
,,,,,,,,,,,,18,17,L,34.4,72.7,,,,,
,,,,,,,,,,,,19,18,M,33.3,76,,,,,
,,,,,,,,,,,,20,19,N,32.7,69,,,,,
,,,,,,,,,,,,21,20,O,34.4,89.5,,,,,
,,,,,,,,,,,,22,21,P,38.9,90.8,,,,,
,,,,,,,,,,,,23,22,Q,39.4,89.6,,,,,
,,,,,,,,,,,,24,23,R,39.9,90.2,,,,,
,,,,,,,,,,,,25,24,S ,37.9,124.7,,,,,
,,,,,,,,,,,,26,25,T ,38,113.1,,,,,
,,,,,,,,,,,,27,26,U,38.3,114.4,,,,,
,,,,,,,,,,,,28,27,V,43.7,105.7,,,,,
,,,,,,,,,,,,29,28,W,44.1,106.3,,,,,
,,,,,,,,,,,,30,29,X,46,108.5,,,,,
,,,,,,,,,,,,31,30,Y,42.5,143.3,,,,,
,,,,,,,,,,,,32,31,Z,43.5,162.2,,,,,
,,,,,,,,,,,,33,32,AA,43.7,127.5,,,,,
,,,,,,,,,,,,34,33,AB,49,119.8,,,,,
,,,,,,,,,,,,35,34,AC,49.6,119,,,,,
,,,,,,,,,,,,36,35,AD,50.3,130.6,,,,,
,,,,,,,,,,,,37,36,0h1,40.3,16,,,,,
,,,,,,,,,,,,38,37,0h2,41.7,16.9,,,,,
,,,,,,,,,,,,39,1,H2O,40.3,0,,,,,
,,,,,,,,,,,,40,2,std1,457.9,14.5,,,,,
,,,,,,,,,,,,41,3,std2,130.8,122.5,,,,,
,,,,,,,,,,,,42,4,std3,55.4,248.4,,,,,
,,,,,,,,,,,,43,5,1YCM,33.6,0,,,,,
,,,,,,,,,,,,44,1,H2O,35.1,0,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
