Sample,Tube,Storage Temperature,Flushing Location,Time Sampled,Elapsed Time,,H2,O2,N2,CO,CO2,Scaled CO,time,AVG,observations,,scaling factor,,,,,,,,
,,,,,,Syinge Used,,,,,,,,,,,340,,,,,,,,
1,A,4,A,10:15 AM,,A,14378,,541,206,404,,,,,,,,,,,,,,
2,B,4,B,,,B,13840,,518,321,352,,,,,,,,,,,,,,
3,C,4,C,,,C,13629,,420,499,269,,,,,,,,,,,,,,
4,D,4,D,,,D,,,,,,,,,,,,,,,,,,,
5,E,4,E,,,E,,,,,,,,,,,,,,,,,,,
6,F,4,F,,,F,,,,,,,,,,,,,,,,,,,
7,G,4,G,,,G,,,,,,,,,,,,,,,,,,,
8,H,4,H,,,H,,,,,,,,,,,,,,,,,,,
9,I,4,I,,,I,,,,,,,,,,,,,,,,,,,
10,J,4,J,,,J,,,,,,,,,,,,,,,,,,,
11,K,4,K,,,K,,,,,,,,,,,,,,,,,,,
12,L,4,L,,,L,,,,,,,,,,,,,,,,,,,
13,M,4,M,,,A,,,,,,,,,,,,,,,,,,,
14,N,4,N,,,B,,,,,,,,,,,,,,,,,,,
15,O,4,O,,,C,,,,,,,,,,,,,,,,,,,
16,P,4,Hood 1,,,D,,,,,,,,,,,,,,,,,,,
17,Q,4,Hood 2,,,E,,,,,,,,,,,,,,,,,,,
18,R,4,Hood 3,,,F,,,,,,,,,,,,,,,,,,,
19,S,4,Hood 4,,,G,,,,,,,,,,,,,,,,,,,
20,T,4,Hood 5,,,H,,,,,,,,,,,,,,,,,,,
21,U,4,Hood 6,,,I,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,cell fraction,0.3,,,,,,,,,,,,,,,,,,,,,
,,,Formulations,Cells,media,,Total volume needed,,,,,,,,,,,,,,,,,,
,,,#1,OTA1,2.5% Cysteine in 0.2N NaOH 0.01 g/L tre,,,,,,,,,,,,,,,,,,,,
,,,volume (uL),1350,3150,,4500,4200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,total volume,1350,3150,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,675,630,,,,,,,,,,,,,,,,,,,,
,,,,2*675,5*630,,,,,0.01,g/mL,,,,,,,,,,,,,,
,,,,,,,,,,10,g/L,,,,,,,,,,,,,,
,,,,,,,,,,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.014285714,0.057142857,,,,,,,,,,,,,,
Drying Notes 3/18,,,,,,,,,,,0.0585,0.014625,0.0102375,,,,,,,,,,,,
5 bottles used of mRCMF 3mL 0.1N CYS PCG 3/24/16 OTA1 3'A-E PCG 4/14/16,,,,,,,,,,,,,,,,,,,,,,,,,
First spin in Beckman at 11:30AM,,,,,,For Rehydration,Need ,84,mL,Reduce 3 50 mL bottles with 2mL 0.2 N NaOH 2.5% Cys,,,,,,,,,,,,,,,
Rinsed with 20 mL from 25 mL bottle of 1YCM PCG 3/16/16 with 1 mL Cys and 0.2 M NaOH 4/14/16,,,,,,52,mL,,,Need 2; one back up,,,,,,,,,,,,,,,
Tube centrifuged in rotana for 15min at 4C and 6000rcf at 12:03 PM.,,,,,,0.052,L,,,,,,,,,,,,,,,,,,
Coatings made as listed above,,,,,,,,,,,,,,,,,,,,,,,,,
All tubes flushed with argon at 20 psi for 25 minutes.,,,,,,10,g/L,0.52,g,Need 2 of these! ,,,,,,,,,,,,,,,
All tubes placed in freezer at 1:53 PM ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rehydration notes,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes A, B, C were rehydrated on 4/18/2016 and placed in shaker at 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,
"While moving tubes A, B, C into anaerobic chamber, cap on tube A popped off during first vacuum; forgot that should take metal caps on inside chamber",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling notes,,,,,,,,,,,,,,,,,,,,,,,,,
anaerobic tape from COY placed over half of tubes remaining after A-C at 4pm 4/18/16.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
