Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (min),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,A,11677,,410,1090,82,,,,
B,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,B,11874,,408,1106,83,,,,
C,N/A,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,C,11463,,409,1077,82,,,,
D,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,D,13279,,454,562,232,,,,
E,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,E,13311,,480,513,252,,,,
F,3MM,4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,F,13432,,460,552,243,,,,
G,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,G,13323,,420,670,208,,,,
H,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,H,11676,,705,462,213,,,,
I,3MM (rinsed),4,4.2,1YCM (1mL) CYS,? (3:35pm),1,10,200,10,50,,I,13022,,461,545,264,,,,
J,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,13247,,427,528,244,,,,
K,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,13246,,394,584,219,,,,
L,3MM,4,4.2,1YCM (3mL) CYS,? (3:35pm),1,10,200,10,50,,,12811,,425,512,234,,,,
