Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,A,12923.2,,377.2,1226.7,48.6,,,,
B,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,B,13302,,369.3,1232.9,52.5,,,,
C,3MM,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,C,12507.2,,365.2,1170.5,52,,,,
D,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,D,12210.3,,345.4,1298.1,0,,,,
E,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,E,12050.9,,341.2,1285.6,18.1,,,,
F,N/A,4,4.2,1YCM,0.75 (1:25),1,10,200,10,50,,F,12038.9,,338.3,1277.5,16.7,,,,
G,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,G,12650.4,,358,1081.7,72.9,,,,
H,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,H,12476.9,,401.9,984.5,94,,,,
I,3MM,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,I,12517.7,,380.3,979,99.5,,,,
J,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,J,11711.6,,345.5,1199.9,34.3,,,,
K,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,K,11610.8,,348.9,1190.2,33.6,,,,
L,N/A,4,4.2,1YCM,1.5 (2:10),1,10,200,10,50,,L,11503,,349.5,1184.2,34,,,,
M,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,M,12140.6,,376.7,861.1,119.5,,,,
N,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,N,12623.7,,381.5,893.9,121,,,,
O,3MM,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,O,12186.3,,381.7,770.7,142.4,,,,
P,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,P,11424.5,,359.5,1134.4,45.9,,,,
Q,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,Q,11511.9,,357.2,1146.5,44.9,,,,
R,N/A,4,4.2,1YCM,2.25 (2:55),1,10,200,10,50,,R,11499.3,,364.8,1151.8,44,,,,
S ,3MM,4,4.2,1YCM,3 (3:40),1,10,200,10,50,,S ,13056,,431.6,587.9,215.9,,,,
T ,3MM,4,4.2,1YCM,3 (3:40),1,10,200,10,50,,T ,12736.6,,434.3,632.3,192.8,,,,
U,3MM,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,U,12834.1,,426,662.7,242.2,,,,
V,N/A,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,V,11482.8,,373.3,1105.5,71.2,,,,
W,N/A,4,4.2,1YCM,3 (3:40),2,10,200,10,50,,W,11309.7,,380.2,1094.7,75.1,,,,
X,N/A,4,4.2,1YCM,3 (3:40),3,10,200,10,50,,X,11192.4,,392.6,1092.54,70.9,,,,
Y,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,Y,11609.2,,594.4,421.3,226.7,,,,
Z,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,Z,13248.6,,495.8,391.6,276,,,,
AA,3MM,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AA,12394.1,,453.1,468.5,222.6,,,,
AB,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AB,11040.5,,408.3,1043.8,81.5,,,,
AC,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AC,11239.4,,407.6,1042.9,88.4,,,,
AD,N/A,4,4.2,1YCM,3.75 (4:25),3,10,200,10,50,,AD,11085.2,,421.1,1040.9,89.9,,,,
