,Conditions,replicates,coating volume,cell fraction,pellet volume needed (uL),,,,OD,,,OD(600),1.13,(1 and 1.3),,Cells in 1200ul microcenterfuge,,,,,,,,,,,,,,,
,5,3,120,0.5,900,,,,a,0.27,1.08,weight,363,mg/L/OD600,,66.5172973,mg,,,,,,,,,,,,,,
,,,,,,,,,b,0.28,1.12,,,,,,,,,,,,,,,,,,,,
,*for each vacuum dry sample,,,,,,,,c,0.3,1.2,bottles,4,,,Cell in 120ul on each coating,,,,,,,,,,,,,,,
,A = after drying weight - (paper weight-atmosphere water)= dry cell weight + water residue,,,,,,,,d,0.28,1.12,,,,,,,,,,,,,,,,,,,,
,*for oven dry cell coating (sample 1),,,,,,,,average,,1.13,volume/bottle,100,ml,,0.00665173,g,,,,,,,,,,,,,,
,B = cell coating after oven dry - (sample 1 paper weight- atmosphere water ratio*sample 1 paper weight) = dry cell weight of 120ul cell ,,,,,,,,,,,cell weight,164.076,mg,Initial ,18.04042029,g/g,,,,,,,,,,,,,,
,*for oven dry paper(sample 2) to calculate atmosphere water ratio which is initial atmosphere water per g paper,,,,,,,,,,,volume of pellet,1.48,mL,,,,,,,,,,,,,,,,,
,atmosphere water ratio = (sample 2 paper weight-sample 2 oven dry)/sample 2 paper weight,,,,,,,,,,,cell concentration,110.8621622,mg/mL,,,,,,,,,,,,,,,,,
,C = A-B = water residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D (g water/g cell) = C / B or C/ calculated dry cell weight using OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,paste dilution,0.5,,,cells in 120uL,,,,,,,,,,,,,,,
,,,Cell Coating,weight of paper,weight of each paper,after drying weight,after drying each,average after drying,atmosphere water ratio,atmosphere water(g),,coating concentration,55.43108108,mg/mL,,0.00665173,g,,,,,,,,,,,,,,
3mm paper,oven,oven paper,1,0.4733,0.4733,0.4594,0.4594,0.458766667,0.029368265,0.0139,,water in microcenterfuge,600,ul,,g/g,,,,,,,,,,,,,,,
,,,2,0.9542,0.4809,0.4543,0.4543,,0.055312955,0.0266,,,,,,,,,,,,,,,,,,,,,
,,,3,1.4391,0.4849,,0.4626,,0.045988864,0.0223,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,average,0.043556695,0.020933333,,cell in microcenterfuge,600,ul,,18.04042029,,,,,,,,,,,,,,,
,,,,,,,,,B(g),,,,,,,,,,,,,,,,,,,,,,
,,oven coating,16,0.4805,0.4805,,0.4701,0.475333333,0.010528992,,,,,,,,,,,,,,,,,,,,,,
,,,17,0.9783,0.4978,,0.4872,,0.011082523,,,,,,,,,,,,,,,,,,,,,,
,,,19,1.4595,0.4812,,0.4687,,0.008459481,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,average,0.010023665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A(g) after drying,C(g) water residue,Experimental D(gwater/gcell),Calculate D(g/g),,,,,,,,,,,,,,,,,,,
,vacuum drying time (min),15,4,0.4788,0.4788,0.493,0.493,0.486,0.035054945,0.02503128,2.497218275,4.270049569,,,0.2ml,cell,,,,,,,,,,,,,,,
,,15,5,0.9551,0.4763,0.964,0.471,,,,,,,,read number *5,,,,,,,,,,,,,,,,
,,15,6,1.4373,0.4822,1.458,0.494,,0.032803038,0.022779373,2.272559214,3.42457884,,,,,,,,,,,,,,,,,,,
,,30,10,0.4771,0.4771,0.4833,0.4833,0.484966667,0.026980899,0.016957234,1.691719872,2.549296864,,,1. Measure OD ,,,,,,,,,,,,,,,,
,,30,11,0.956,0.4789,0.9695,0.4862,,0.028159301,0.018135636,1.809281863,2.726454099,,,"2. Bring in anarobic chamber, transfer in oak ridge bottles",,,,,,,,,,,,,,,,
,,30,12,1.4344,0.4784,1.4549,0.4854,,0.027837523,0.017813857,1.777179998,2.67807896,,,3. Centerfuge 15mins,,,,,,,,,,,,,,,,
,,60,13,0.4845,0.4845,0.4875,0.4875,,0.024103219,0.014079553,1.404631229,2.116675489,,,"4. Bring back in, rinse with media",,1ycm,second drawer,,,,,,,,,,,,,
,,60,14,0.9605,0.476,0.9688,0.4813,,0.026032987,0.016009321,1.597152432,2.406790718,,,5. Small centerfuge again,,,,,,,,,,,,,,,,
,,60,15,1.4483,0.4878,1.463,0.4942,,0.027646956,0.01762329,1.758168283,2.64942971,,,"6. Bring in, dilute, coat",,,,,,,,,,,,,,,,
